1-12-313;LAMINA DE REPOSICAO P/PLAINAS 12-164/165
2005872;GRAMPO RAPIDO HEAVY DUTY 30CM 12"
SC931X;CHAPINHA DE CABELO 2
DCM1000;CAFETEIRA
T250T;TOSTADOR PAO
185476-05;CJ. MOTOR 220V 1V/2V BLENDER EIXO MAIOR
10-189C;ESTILETE AUTO-RETRATIL DE SEGURANCA 18MM
BDPR400;ROLO DE PINTURA
KR550-B2;FURADEIRA DE IMPACTO 1/2 V.V.R.
10506546;ESTILETE IRW SNAP-OFF STD 9MM C/24
14-566;TESOURA AVIACAO FATMAXRETA CORTE LONGO
16-013multi;KIT FACA VOCE MESMO MULTICOISAS 16"
15-560;22" SERROTE PROFISSIONAL 8 DPP
16-870LA;FORMÃO PARA MADEIRA 1/4" (6,35MM)
1864188;CHAVE DE FENDA GP 1/2X14
1864415;CHAVE DE FENDA PC 3/16X3
1864418;CHAVE DE FENDA PC 3/16X6
1864449;CHAVE DE FENDA PC 3/8X8
1865314;CJ BR AR IRWIN 15 PÇS 1.5-10MM ETJ
1879227;CHAVE COMBINADA COM PESCOCO - 30MM
448080-01;SUPORTE DW352
KS400-BR;SERRA TICO-TICO
DW030P-B2;TRENA LASER
329450-49;ROTOR 220V COM EIXO 20mm
DW245T-B2;FURADEIRA 1/2 V.V.R.
1402L3;ALICATE DE PRESSAO IRW V-GRIP 6LN CX UN
143139-00;PINHAO
11111;PEÇA DE TESTE
15-469;16" SERROTE LUCTADOR 8DPP
15-470;18" SERROTE LUCTADOR 8DPP
15-473;24" SERROTE LUCTADOR
15-884;12"SERROTE COSTA PROFISSIONAL 13 DPP
15199;SERRA CIR MULTICORTE 250MMX80DX30MM
16-290;22X203MM (7/8X8") TALHADEIRA
16-298;JOGO DE TALHADEIRAS 3PECAS
16-873LA;FORMÃO PARA MADEIRA 1/2" (12MM)
372193;CONDUTOR PRETO
H11950F-BR;MOTOCOMPRESSOR DE PISTÃO INSENTO DE ÓLEO
376305-02;ETIQ.FANTASIA FS JSXX
V2410 BR;ASPIRADOR PÓ PORTAIL
CD121K;FURADEIRA E PARAFUSADEIRA 3/8
1765331;BR 3PTS IRWIN 145MM X 12.00MM AS UN
1933269;SERRA COPO IRWIN SS 25L 1.9/16 40MM 1/BX
1005013-00;CONJ. BASE E ALMOFADA
CE750-BR;PLAINA ELETRICA PROFIS. 750W 127V
D55905F-B2;COMPRESSOR CDI 2,6/60
PFOX515T;FERRO SECO VAPOR
KR550-BR;FURADEIRA DE IMPACTO 1/2 V.V.R.
KR720-B2;FURADEIRA DE IMPACTO 1/2 VVR
HG610P-B2;SANDUICHEIRA PRETA
1819361;JOGO FORMÕES CONSTRUÇÃO 1/4\; 1/2\; 3/4\; 1
1834972;BR AR DIN 338 IRWIN 125X09.50MM AS UN
1834974;BR AR DIN 338 IRWIN 133X10.50MM AS UN
1834975;BR AR DIN 338 IRWIN 142X11.00MM AS UN
BDSM100;TRENA ELETRÔNICA DIGITAL
184947-01;MANUAL INSTR. LM100
1310046;ESPACADOR
1933710;SERRA COPO IRWIN SS 41L 2.9/16 65MM 1/BX
DW352BR;SERRA CIRCULAR 7 1/4
1934064;SERRA COPO IRWIN SS 58L 3.5/8 92MM 1/BX
1934067;SERRA COPO IRWIN SS 76L 4.3/4 121MM 1/BX
5140065-59;PINO
LZR4-XJ;NÍVEL LASER 360°
M675;BATEDEIRA 5 VELOCIDADES
TR135;APARADOR DE CERCAS VIVAS 13
DW501;FURADEIRA DE IMPACTO
BB100P;BALANCA PILHA
SC838T;SECADOR DE CABELO
KR470B2;FURADEIRA DE IMPACTO 3/8’’
M575;BATEDEIRA 5 VELOCIDADES
185528-02;LUVA KC2000FK
185534-02;LUVA 7935BE
PFOX515X;FERRO SECO VAPOR
5140130-79;TAMPA DO INTERRUPTOR
JH110013;PRESILHA DO TUBO
F215-B2;FERRO SECO PLASTICO
LAS3000-B2;ASPIRADOR DE PÓ COM FILTRO HEPA
184812-00;CX EMB 9 UNID PFO
BDSM100;TRENA ELETRÔNICA DIGITAL
HTAT210X;TOSTADOR DE PÃO
9756-B2;SOPRADOR TERMICO
CD400-B2;LIXADEIRA POLITRIZ
7359B2;SERRA CIRCULAR
D25113K-BR;MARTELETE PERFURADOR / ROMPEDOR SDS PLUS 1”
7359KBR;SERRA CIRCULAR
388329-00;MALETA PLASTICA
386591-00;CAIXA UNITARIA
183511-03;CX EMB SSP
184964-10;CX COLETIVA DW818
KR550-BR;FURADEIRA DE IMPACTO 1/2 V.V.R.
CD12KIT-BR;FURADEIRA E PARAFUSADEIRA 3/8
HTAT200X;TOSTADOR DE PÃO
HDCM2000PX;CAFETEIRA PRETA
AV1500LA-BR;ASPIRADOR AUTOMOTIVO
D25003K-BR;MARTELETE ELETROPNEUM
KR720-B2;FURADEIRA DE IMPACTO 1/2 VVR
JS110BEB2;SERRA TICO-TICO
ATM100-QW;TRENA ELÉTRICA
D25113K-B2;MARTELETE PERFURADOR / ROMPEDOR SDS PLUS 1”
DW818-B2;ESMERILHADEIRA 4 1/2
DC988KA-BR;PARAFUSADEIRA FURADEIRA IMPACT 1/2
WP1300K-B2;POLITRIZ 7
596847-00;ENGRENAGEM DE SAIDA
HT160-BR;APARADOR DE CERCA VIVA 16
184912-06;LUVA KR502BE
PFOX527T;FERRO SECO VAPOR
187704-00;RESERVATORIO D55932F
LZR3-XJ;NÍVEL LASER
ASI300-B2;MINI COMPRESSOR DOMÉSTICO
KS450-BR;SERRA TICO TICO 6 VELOCIDADES
DW818-BR;ESMERILHADEIRA 4 1/2
HDCM1000X;CAFETEIRA
DW979K2-BR;PARAFUSADEIRA DRYWALL 2 V.V.R.
9073-B2;PARAFUSADEIRA 2.4V
DW368BR;SERRA CIRCULAR
VFLF210T;FERRO SECO
184662-00;CALCO BAT. MIXER
185071-05;LUVA 7950BE
185088-00;CALCO KBM500
185107-03;CX.UNITARIA PRO30
185173-01;CX.UNITARIA
185189-00;CALCO DW507/508
185202-00;CALCO DW352
185343-00;MALETA SERRA MARMORE
184484-08;CX COL 7935
BT1300-BR;FURADEIRA DE COLUNA DE 10”
BN200B;PINADOR DE PINOS F
D28700-B2;POLICORTE 14
KMVSB30X;MIXER VERTICAL
T750-BR;TOSTADOR 120V
MT300B2;BATEDEIRA COM PEDESTAL 220V
FT90;FORNO TOSTADOR
G48;GRILL
BDI100-BR;INVERSOR DE CORRENTE
BD605;DUCHA DE LATÃO
GC1200-BR_TIPO 1;FURAD/PARAFUSADEIRA 12V BIVOLT
DW860-B2;SERRA MARMORE 4 3/8
BDI750-BR;INVERSOR DE ENERGIA 750W
BT1400-B2_TIPO3;SERRA ESQUADRIA 10
D55905F-B2;COMPRESSOR CDI 2,6/60
IB890-220V_TIPO 1;LIQUIDIFICADOR 2 VEL.
BT3600-B2;ESMERIL DE BANCADA
DC745-BR_TIPO 10;FURADEIRA E PARAFUSADEIRA 1/2
BDI400-BR;INVERSOR DE CORRENTE
BDI200-B2;INVERSOR DE CORRETE
BDI200-BR;INVERSOR DE CORRENTE
KR1515KB2;FURADEIRA DE IMPACTO 3/8 KIT
71-792LA;KIT ESPECIAL 20PÇS C/ PARAFUSADEIRA A PILHA
DW508KBR;FURADEIRA DE IMPACTO 1/2
BN200B;PINADOR DE PINOS F
PTX4;ESMERILHADEIRA 4
D25730K-B2;MARTELO SDS MAX 2 V.V.R.
PFKX570X;FERRO SECO VAPOR SPRAY
SC839B;SECADOR DE CABELO
PT382;CHAVE DE IMPACTO 3/8
155433-00;PLACA DE ESPECIF. 120V
155433-01;PLACA DE ESPECIF. 220V
D25900K-B2;MARTELO DEMOLIDOR SDS MAX
BN200A;PINADOR F18
D25003K-BR;MARTELETE ELETROPNEUMÁTICO SDS PLUS 15/16’’ V.V.R.
DC745KA-BR;FURADEIRA E PARAFUSADEIRA 1/2
153115-01;ETIQ. ESPECIF. DW352-B2TIPO 1
D25113K-BR;MARTELETE PERFURADOR / ROMPEDOR SDS PLUS 1”
V2410-B2;ASPIRADOR DE PÓ PORTATIL
HG610P-BR;SANDUICHEIRA PRETA
DW321K-B2;SERRA TICO-TICO COM AVANÇO PENDULAR
HG610P-BR;SANDUICHEIRA PRETA
SP607068;PRESILHA DO CABO
HD550T-BR;FURADEIRA DE IMPACTO 1/2” V.V.R.
DW251 120V;PARAFUSADEIRA VVR
