098205043ATA;TABLET 10.1D-B422A-MAI VERSAO A
055102006ATB;BEBEDOURO COMPRESSOR PBE02BF 220V V.                                            
059205012;HEADPHONE PH01VD
096052055ATB;MICROONDAS PMO33ES 220V V.B
096052097;MICRO-ONDAS PMO33EB 220V
053801047ATB;FRITADEIRA AIR FRY JUMBO INOX PFR06PI 127V V.B
096652176;AR COND PH12000IFM5 200V Unid. Ext.
057103078;TV PH22D16D LED
053902045ATA;CAFETEIRA PCFD38 TOUCH INOX RED 220V V.A                                        
054902069ATA;ASPIRADOR DE PO MULTI CLEAN PAS1300C 220V V.A (PRETO)
058205046;TABLET PH7ORR KIDS
063901083;CAF CP14 127V
096051124ATA;MICRO-ONDAS BME31 127V V.A
053502056ATA;SECADOR DE CABELOS BEAUTY ROSE 220V V.A                                         
06660269;
066401060ATX943D;PANELA ARROZ PA5 PRIME PR 127V V.D (                                            
056102084ATA;FORNO ELETRICO 46L PFE46V 220V V.A
096051047;MICROONDAS PMO26B 127V
066121020;VENT C50 TURBO OSCILLATION 127V
033101007;LQ DIAMANTE FILTRO 127V            
064901056;ASP PO FAS750AZ 127V
064901056;ASP PO FAS750AZ 127V
096662007;AR COND BAC12000ITFM9W EXT 220V
033101202ATM;LQ DIAMANTE 800 VM 127V V.M                                                     
056003012ATA;PRANCHA BEAUTY CERAMIC BIV V.A
033101069ATF;LQ DIAMANTE BLACK FILTER 127V V.F
096662007;AR COND BAC12000ITFM9W EXT 220V
096051142;MICRO-ONDAS PMO28E 127V
065502003ATB;UMIDIFICADOR BRUS3 220V VERSAO B                                                
103101096;LQ PH1200P 127V
056101072ATA;FORNO ELETRICO EMBUTIR PFE60DI 127V V.A
056401004ATC;PANELA PRESSAO DIGITAL 6L 127V V.C                                              
063202013;MIXER PR FUN KITCHEN 220V
063902103ATA;CAFETEIRA INOX PLUS BCF36IV 220V V.A                                            
099323087;TV PTV32RCG70BLH LED
056051032ATA;MICROONDAS PME28 127V VERSAO A
033402087ATA;BATEDEIRA PLANETARIA BBT500V 220V V.                                            
054801004ATB;ADEGA PH16E 127V V.B
056401053ATC;PANELA ARROZ PH5 VISOR GLASS VM 127V V.C
055401014;ESC ROTATIVA SPIN ION BRUSH 2 127V
054901019ATB;ASP PO PH1500 MAX 127V V.B                                                      
056102075;FORNO ELETRICO 25L PFE25S 220V V.A
055305002ATG;APARADOR PELOS MULTI GROOM 7 EM 1 BIV V.G
053501028;SEC CABELOS BEAUTY GLAM 2000W 127V
